Linux 7.0.9 (hp3) 	06/19/2026 	_x86_64_	(8 CPU)

10:57:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:57:32 PM  all    0.87    0.00   10.97    0.00    0.12    7.48    0.00    0.00    0.00   80.55
10:57:32 PM    0    2.97    0.00   42.57    0.00    0.99   30.69    0.00    0.00    0.00   22.77
10:57:32 PM    1    4.00    0.00   45.00    0.00    0.00   29.00    0.00    0.00    0.00   22.00
10:57:32 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:32 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:32 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:32 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:32 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:32 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:57:32 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:57:33 PM  all    1.00    0.00   14.48    0.00    0.12    9.49    0.00    0.00    0.00   74.91
10:57:33 PM    0    4.00    0.00   60.00    0.00    0.00   36.00    0.00    0.00    0.00    0.00
10:57:33 PM    1    3.96    0.00   55.45    0.00    0.99   39.60    0.00    0.00    0.00    0.00
10:57:33 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:33 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:33 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:33 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:33 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:33 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:57:33 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:57:34 PM  all    1.12    0.00   14.37    0.00    0.00    9.50    0.00    0.00    0.00   75.00
10:57:34 PM    0    5.00    0.00   59.00    0.00    0.00   36.00    0.00    0.00    0.00    0.00
10:57:34 PM    1    4.00    0.00   56.00    0.00    0.00   40.00    0.00    0.00    0.00    0.00
10:57:34 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:34 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:34 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:34 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:34 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:34 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:57:34 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:57:35 PM  all    1.25    0.00   14.25    0.00    0.12    9.25    0.00    0.00    0.00   75.12
10:57:35 PM    0    6.00    0.00   57.00    0.00    0.00   37.00    0.00    0.00    0.00    0.00
10:57:35 PM    1    4.04    0.00   57.58    0.00    0.00   37.37    0.00    0.00    0.00    1.01
10:57:35 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:35 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:35 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:35 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:35 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:35 PM    7    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   99.01

10:57:35 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:57:36 PM  all    1.25    0.00   14.12    0.00    0.12    9.50    0.00    0.00    0.00   75.00
10:57:36 PM    0    4.00    0.00   55.00    0.00    1.00   40.00    0.00    0.00    0.00    0.00
10:57:36 PM    1    6.00    0.00   58.00    0.00    0.00   36.00    0.00    0.00    0.00    0.00
10:57:36 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:36 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:36 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:36 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:36 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:36 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:57:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:57:37 PM  all    1.24    0.00   14.25    0.00    0.12    9.54    0.00    0.00    0.00   74.85
10:57:37 PM    0    4.95    0.00   55.45    0.00    0.00   39.60    0.00    0.00    0.00    0.00
10:57:37 PM    1    4.95    0.00   58.42    0.00    0.99   35.64    0.00    0.00    0.00    0.00
10:57:37 PM    2    0.00    0.00    0.00    0.00    0.00    0.98    0.00    0.00    0.00   99.02
10:57:37 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:37 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:37 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:37 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:37 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:57:37 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:57:38 PM  all    1.12    0.00   14.37    0.00    0.00    9.50    0.00    0.00    0.00   75.00
10:57:38 PM    0    4.00    0.00   56.00    0.00    0.00   40.00    0.00    0.00    0.00    0.00
10:57:38 PM    1    5.00    0.00   59.00    0.00    0.00   36.00    0.00    0.00    0.00    0.00
10:57:38 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:38 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:38 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:38 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:38 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:38 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:57:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:57:39 PM  all    1.25    0.00   14.23    0.00    0.12    9.49    0.00    0.00    0.00   74.91
10:57:39 PM    0    4.95    0.00   54.46    0.00    0.99   39.60    0.00    0.00    0.00    0.00
10:57:39 PM    1    5.00    0.00   59.00    0.00    0.00   36.00    0.00    0.00    0.00    0.00
10:57:39 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:39 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:39 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:39 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:39 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:39 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:57:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:57:40 PM  all    1.00    0.00   14.52    0.00    0.00    9.39    0.00    0.00    0.00   75.09
10:57:40 PM    0    4.00    0.00   56.00    0.00    0.00   40.00    0.00    0.00    0.00    0.00
10:57:40 PM    1    4.04    0.00   60.61    0.00    0.00   35.35    0.00    0.00    0.00    0.00
10:57:40 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:40 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:40 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:40 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:40 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:40 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:57:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:57:41 PM  all    1.25    0.00   14.21    0.00    0.12    9.60    0.00    0.00    0.00   74.81
10:57:41 PM    0    5.05    0.00   58.59    0.00    0.00   36.36    0.00    0.00    0.00    0.00
10:57:41 PM    1    4.90    0.00   54.90    0.00    0.98   39.22    0.00    0.00    0.00    0.00
10:57:41 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:41 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:57:41 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
